raw_aspect,sentence,label,label_id
lags,battery backup is awesome and no lags are seen while playing games or doing multitasking,negative,0
fhd+ lcd panel,many phones in this price segment comes with hd+ resolution but this packs a fhd+ lcd panel which is great,positive,2
emui,emui works smoother than miui or coloros,positive,2
product,good product and worth for that amount,positive,2
amount,good product and worth for that amount,positive,2
price ratio,good but as compared to price ratio the honor 10 lite is not value for money,negative,0
battery,and battery is just 3400mah which not that good,negative,0
run-out,if you used it heavy than just run-out within 4,negative,0
battery,for battery big thumbs down,negative,0
rest is things,rest is things is just ok not so good not so bad just average,neutral,1
speed perfomance,huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,positive,2
quality camera,huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,positive,2
battery life,huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life,positive,2
honor phone,"honor phone are best phone, huawei is 2nd largest smartphone company in the world",positive,2
phone,overall this is really best phone,positive,2
camera,camera is superb,positive,2
displaye,displaye is awesome,positive,2
battery,battery is out of 4/5,neutral,1
durable phone,according to me this is a durable phone,positive,2
product,product is good,positive,2
lightly overheating problem,lightly overheating problem,negative,0
unlock system,unlock system not as fast as much would be,negative,0
looking smart,looking smart and more attractive,positive,2
more attractive,looking smart and more attractive,positive,2
colour variation,colour variation is best,positive,2
slim,slim and smart mobile phone,neutral,1
smart mobile phone,slim and smart mobile phone,neutral,1
phone,good phone for the price,neutral,1
price,good phone for the price,neutral,1
phone,"rather i would say, best phone in this segment",positive,2
battery life,"love the battery life, display and camera of this phone compared to many others i have tried",positive,2
display,"love the battery life, display and camera of this phone compared to many others i have tried",positive,2
camera,"love the battery life, display and camera of this phone compared to many others i have tried",positive,2
design,amazing design very excellent performance and very good camera quality in honor 10 lite also i like huawei honor mobile,positive,2
performance,amazing design very excellent performance and very good camera quality in honor 10 lite also i like huawei honor mobile,positive,2
camera quality,amazing design very excellent performance and very good camera quality in honor 10 lite also i like huawei honor mobile,positive,2
decision,initially i was somewhat skeptical but extremely happy with my decision now,positive,2
miui9,miui9 is fun to go along,positive,2
os,the far better os compared to xiaomi and realme,positive,2
notch settings,"it has numerous useful features in it like notch settings, display settings and customizations etc",neutral,1
display settings,"it has numerous useful features in it like notch settings, display settings and customizations etc",neutral,1
customizations,"it has numerous useful features in it like notch settings, display settings and customizations etc",neutral,1
os,"the os, display (fhd+ notch), file manager, camera are the biggest assets",positive,2
display (fhd+ notch),"the os, display (fhd+ notch), file manager, camera are the biggest assets",positive,2
file manager,"the os, display (fhd+ notch), file manager, camera are the biggest assets",positive,2
camera,"the os, display (fhd+ notch), file manager, camera are the biggest assets",positive,2
clean,they are clean and beautiful and very easy to organise,positive,2
beautiful,they are clean and beautiful and very easy to organise,positive,2
easy to organise,they are clean and beautiful and very easy to organise,positive,2
ai camera,especially the ai camera adjusts its settlings very optimally to get,positive,2
settlings,especially the ai camera adjusts its settlings very optimally to get,positive,2
phone,nice phone camera is best all settings tha best tha compair vivo s1,positive,2
camera,nice phone camera is best all settings tha best tha compair vivo s1,positive,2
all settings,nice phone camera is best all settings tha best tha compair vivo s1,positive,2
camera,very good camera and very good experience i like this,positive,2
experience,very good camera and very good experience i like this,positive,2
smart phone,smart phone and high quality gaming experience very smooth gaming experience,positive,2
high quality gaming experience,smart phone and high quality gaming experience very smooth gaming experience,positive,2
smooth gaming experience,smart phone and high quality gaming experience very smooth gaming experience,positive,2
value for money,"this mobile honer 10 lit value for money i love it, and camera quality is a good quality",positive,2
camera quality,"this mobile honer 10 lit value for money i love it, and camera quality is a good quality",positive,2
battery pick up,but one disappoint in battery pick up is very most 😭😭,negative,0
this mobile,and also good for this mobile i love it♥️♥️♥️😍😍😍,positive,2
product,the product is good one,positive,2
screen protection,it is covered with screen protection,neutral,1
the phone,the phone is working in good condition,positive,2
fm,fm is very good,positive,2
camera,camera ok overall good,neutral,1
overall,camera ok overall good,positive,2
battery backup,battery backup is 3 days if you are not using videos,neutral,1
this price range,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",neutral,1
features,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",neutral,1
camera,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",positive,2
battery backup,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",positive,2
features of the mobile,"this mobile is awesome at this price range , i don't think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even i am shocked with the features of the mobile",positive,2
camera,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",positive,2
selfie camera,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",positive,2
bookeh effect,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",positive,2
battery,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",positive,2
storage,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",positive,2
3gb ram,"i had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake",positive,2
phone,best phone under this prize but speaker quality not good but best phone,positive,2
prize,best phone under this prize but speaker quality not good but best phone,positive,2
speaker quality,best phone under this prize but speaker quality not good but best phone,negative,0
phone,very good phone for this price,positive,2
price,very good phone for this price,positive,2
camera,camera may not satisfy those who like taking pictures and all,negative,0
overall performance,"but for someone like me who is more concerned about overall performance and ability to do my work seamlessly, this phone has given me enough reasons to not complain",positive,2
ability to do my work seamlessly,"but for someone like me who is more concerned about overall performance and ability to do my work seamlessly, this phone has given me enough reasons to not complain",positive,2
processor,the processor is good and ram is just enough to prevent apps from hanging,positive,2
ram,the processor is good and ram is just enough to prevent apps from hanging,neutral,1
multitasking,many times i do multitasking and it hasn't let me down,positive,2
storage,"since i am not into photography and video making, storage is less of a concern",neutral,1
speaker,speaker could have been b,negative,0
expectations,and it hasn't failed the expectations,positive,2
cheapest price,best in the cheapest price,positive,2
look,decent and sleek look,neutral,1
smartphone,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",positive,2
battery,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",positive,2
camera,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",positive,2
display,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",positive,2
performance,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",positive,2
rear camera,"beautiful smartphone must buy please battery,camera, display, performance everything is good i love it but rear camera is avarage not so good not so badbut i recommended you that you can go for it",neutral,1
product in this price range,very good product in this price range display is very good and camera is also good,neutral,1
display is very good,very good product in this price range display is very good and camera is also good,positive,2
camera is also good,very good product in this price range display is very good and camera is also good,positive,2
small size battery,small size battery but not small size backup very good battery backup,neutral,1
small size backup,small size battery but not small size backup very good battery backup,positive,2
battery backup,small size battery but not small size backup very good battery backup,positive,2
ur money will not waste,i challengeas per my point of view ur money will not waste for this mobile,positive,2
smartphone,a good step towards customer for their full satisfaction in term of smartphone by honor huwai,positive,2
product,this product is so cute,positive,2
phone,"this is the really great phone in this price, i searched all brands like oppo, vivo, redmi etc",positive,2
price,"this is the really great phone in this price, i searched all brands like oppo, vivo, redmi etc",positive,2
future,"but never get all these future in this price range, honor 10 lite best phone in this price range",neutral,1
price range,"but never get all these future in this price range, honor 10 lite best phone in this price range",neutral,1
phone,"but never get all these future in this price range, honor 10 lite best phone in this price range",positive,2
price range,"but never get all these future in this price range, honor 10 lite best phone in this price range",positive,2
photos,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,positive,2
photo,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,positive,2
selfies,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,positive,2
usb type c,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,positive,2
battery build-up,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,positive,2
battery backup,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,positive,2
colour definition and saturation,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,negative,0
selfie,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,neutral,1
budget smartphone,entry level good budget smartphone -good for pubg at hd and high fps-hisilicon kirin 710 processor fast and good,neutral,1
pubg at hd and high fps,entry level good budget smartphone -good for pubg at hd and high fps-hisilicon kirin 710 processor fast and good,positive,2
hisilicon kirin 710 processor,entry level good budget smartphone -good for pubg at hd and high fps-hisilicon kirin 710 processor fast and good,positive,2
processor fast and good,entry level good budget smartphone -good for pubg at hd and high fps-hisilicon kirin 710 processor fast and good,positive,2
decent camera,fast response-decent camera not good at low light,neutral,1
not good at low light,fast response-decent camera not good at low light,negative,0
camera,don't purchase this smartphone for camera and long battery use,negative,0
long battery use,don't purchase this smartphone for camera and long battery use,negative,0
3500mah battery,3500mah battery small and no fast charging available,negative,0
fast charging,3500mah battery small and no fast charging available,negative,0
the juice won't run out fast,but the juice won't run out fast,positive,2
premium look,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,positive,2
front camera,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,positive,2
real camera,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,positive,2
gaming performance,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,positive,2
display,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,positive,2
battery backup,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,neutral,1
quality/performance,quality/performance is not as good as was in honor 6x and honor 8x,negative,0
phone,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,positive,2
phones,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,positive,2
valuable price,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,positive,2
build quality,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,positive,2
performance,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,positive,2
display,"wow terrific purchase display is awesome , camera is good , i always trust huawei it's one of the best mobile you can buy under 9k",positive,2
camera,"wow terrific purchase display is awesome , camera is good , i always trust huawei it's one of the best mobile you can buy under 9k",positive,2
mobile,"wow terrific purchase display is awesome , camera is good , i always trust huawei it's one of the best mobile you can buy under 9k",positive,2
mobile,excellent mobile honor from huwai,positive,2
camera quality,best camera quality and easy operations,positive,2
easy operations,best camera quality and easy operations,positive,2
worth of money,perfectly right this model for worth of money and there is no more comment on this,positive,2
battery back up,and some litttle disappointed on battery back up,negative,0
display quality,"best feature in this phone, display quality good camera quality good , best performance pubg playing",positive,2
camera quality,"best feature in this phone, display quality good camera quality good , best performance pubg playing",positive,2
performance pubg playing,"best feature in this phone, display quality good camera quality good , best performance pubg playing",positive,2
product,it is awesome product,positive,2
all functions,all functions are awesome,positive,2
front camera quality,front camera quality is too good but back camera is not so special,positive,2
back camera,front camera quality is too good but back camera is not so special,neutral,1
budget phone,a nice budget phone i'm happy with it,positive,2
device,the device is good but body of the device is below the average,neutral,1
body of the device,the device is good but body of the device is below the average,negative,0
hold this in your hand,when you hold this in your hand its not feel good,negative,0
honor 9 lite,i will say honor 9 lite was good as compare to honor 10 lite,neutral,1
honor 10 lite,i will say honor 9 lite was good as compare to honor 10 lite,neutral,1
overall rating,overall rating is 3 star,neutral,1
aesthetic appearance,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",positive,2
good camera,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",positive,2
nice display,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",positive,2
great value for money,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",positive,2
"can't play cod with gyroscope always on, it's lagging","pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",negative,0
no slow motion video recording,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",negative,0
"not good for heavy games like cod, pubg & pes 2020","pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",negative,0
display,good if a person is not a heavy user as well a not so good display but then also i am giving it 5* cuz it got really good camer,negative,0
camer,good if a person is not a heavy user as well a not so good display but then also i am giving it 5* cuz it got really good camer,positive,2
device,this is a awesome device for this price range,neutral,1
handy,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",positive,2
light weight,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",positive,2
good display,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",positive,2
good front cam,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",positive,2
moderate back camera,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",neutral,1
screen to body ratio,the screen to body ratio is more than 90%,neutral,1
