sentence,raw_aspect,sentiment
Entry level good budget Smartphone - Good for PUBG at HD and high fps - HiSilicon Kirin 710 processor fast and good,Kirin 710 processor,Positive
Fast response - decent Camera not good at low light,response,Positive
Fast response - decent Camera not good at low light,Camera,Positive
don ' t purchase this smartphone for camera and long battery use,camera,Negative
don ' t purchase this smartphone for camera and long battery use,battery use,Negative
3500mah battery small and no fast charging available,battery,Negative
3500mah battery small and no fast charging available,charging,Negative
but the juice won ' t run out fast,juice,Negative
This phone is premium look Front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,look Front camera,Positive
This phone is premium look Front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,camera,Positive
This phone is premium look Front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,gaming performance,Positive
This phone is premium look Front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,display,Positive
This phone is premium look Front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,battery backup,Positive
Realme is better in the same price range,price range,Positive
Quality / performance is not as good as was in honor 6x and honor 8x,Quality,Negative
Quality / performance is not as good as was in honor 6x and honor 8x,performance,Negative
Good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,price,Positive
Good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,build quality,Positive
Good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,performance,Positive
"Wow Terrific Purchase Display is Awesome , Camera is good , I always trust Huawei it ' s one of the best mobile you can buy under 9k",Display,Positive
"Wow Terrific Purchase Display is Awesome , Camera is good , I always trust Huawei it ' s one of the best mobile you can buy under 9k",Camera,Positive
Excellent Mobile Honor From Huwai,Honor,Positive
Best camera quality and Easy operations,camera quality,Positive
Best camera quality and Easy operations,operations,Positive
perfectly right this model for worth of money and there is no more comment on this,model,Positive
perfectly right this model for worth of money and there is no more comment on this,money,Positive
and some litttle disappointed on battery back up,battery,Negative
"best feature in this phone , display quality good camera quality good , best performance pubg playing",feature,Positive
"best feature in this phone , display quality good camera quality good , best performance pubg playing",display quality,Positive
"best feature in this phone , display quality good camera quality good , best performance pubg playing",camera quality,Positive
"best feature in this phone , display quality good camera quality good , best performance pubg playing",performance,Positive
It is awesome product,product,Positive
All functions are awesome,functions,Positive
Trust the product,product,Positive
Fast delivery and good response,delivery,Positive
Fast delivery and good response,response,Positive
Thank you filipcart,,
Front camera quality is too good but back camera is not so special,quality,Positive
Front camera quality is too good but back camera is not so special,back camera,Neutral
A nice budget phone I ' m happy with it,phone,Positive
The device is good but body of the Device is below the average,body,Negative
when you hold this in your hand its not feel good,,
i will say Honor 9 Lite was good as compare to Honor 10 Lite,Honor,Positive
Overall Rating is 3 Star,,
"Pros : aesthetic appearance , good camera , nice display , I got for 8K during big billion days - great value for moneyCons : can ' t play COD with GYROSCOPE always On , it ' s laggingno slow motion video recording not good for heavy games like cod , pubg & pes 2020",appearance,Positive
"Pros : aesthetic appearance , good camera , nice display , I got for 8K during big billion days - great value for moneyCons : can ' t play COD with GYROSCOPE always On , it ' s laggingno slow motion video recording not good for heavy games like cod , pubg & pes 2020",camera,Positive
"Pros : aesthetic appearance , good camera , nice display , I got for 8K during big billion days - great value for moneyCons : can ' t play COD with GYROSCOPE always On , it ' s laggingno slow motion video recording not good for heavy games like cod , pubg & pes 2020",display,Positive
"Pros : aesthetic appearance , good camera , nice display , I got for 8K during big billion days - great value for moneyCons : can ' t play COD with GYROSCOPE always On , it ' s laggingno slow motion video recording not good for heavy games like cod , pubg & pes 2020",motion video recording,Neutral
good if a person is not a heavy user as well a not so good display but then also i am giving it 5 * cuz it got really good camer,display,Negative
I purchased this for my colleague,,
This is a awesome device for this price range,price range,Positive
"Very handy , light weight , good display , good front cam and aslo moderate back camera for a normal user",weight,Positive
"Very handy , light weight , good display , good front cam and aslo moderate back camera for a normal user",display,Positive
"Very handy , light weight , good display , good front cam and aslo moderate back camera for a normal user",front cam,Positive
"Very handy , light weight , good display , good front cam and aslo moderate back camera for a normal user",back camera,Neutral
The screen to body ratio is more than 90 %,screen,Positive
So friends please go for it,,
You will never disappointed,disappointed,Positive
Front camera of 9 lite is better then 10 lite and back camera is much much better than 9 lite,Front camera,Positive
Front camera of 9 lite is better then 10 lite and back camera is much much better than 9 lite,back camera,Positive
Don ' t buy if u want good camera,camera,Negative
Rest all perfect for me in all aspects other than camera,Rest,Positive
Rest all perfect for me in all aspects other than camera,camera,Negative
Camera is not as expected but its good,Camera,Negative
Good battery backup,battery backup,Positive
Lookwise its awesome,Lookwise,Positive
Display is not as great as honor 9N,Display,Negative
overall its nice product,,
Thank you flip kart,flip kart,Positive
Reviewing after 5 days of use,use,Neutral
"Pros : looks like a high end sleek phone , camera is almost a Canon dslr , value for money",phone,Positive
"Pros : looks like a high end sleek phone , camera is almost a Canon dslr , value for money",camera,Positive
"Cons : battery is average , speed and performance is average",battery,Neutral
"Cons : battery is average , speed and performance is average",speed,Neutral
"Cons : battery is average , speed and performance is average",performance,Neutral
Overall unmatchable value for money at this price,value,Positive
Overall unmatchable value for money at this price,price,Positive
Very good phone,phone,Positive
Value of money camera is not so good as I expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,camera,Negative
Value of money camera is not so good as I expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,battery backup,Positive
Value of money camera is not so good as I expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,charging speed,Positive
Value of money camera is not so good as I expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,design,Positive
Value of money camera is not so good as I expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,look,Positive
Value of money camera is not so good as I expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,speed,Neutral
First of all the delivery experience was great,delivery,Positive
Phone is great value for money in this price range,Phone,Positive
"Good display , camera and performance",display,Positive
"Good display , camera and performance",camera,Positive
"Good display , camera and performance",performance,Positive
Worth to buy,,
"I speak to my brother , my sister and my house or my friend for whatever phone I do and I record those people because the mobile of the honor is very good and everything else is very fine and to be a taillight Don ' t ask man is very good",mobile of the honor,Positive
"I bought a lot of honor phones from Flipkart above like the Honor 6x , , Honor 7a which I do on my own and Honor 9 Light On and Light Honor 8x , , This time I took a honor 10 lite for brother",honor,Neutral
Thanks flipkart ❤ ️,flipkart,Positive
This is the review for 3GB model I bought on fk,3GB,Neutral
Using from past 1 + month as my primary device,,
Performance is avg and at times slower than 2GB redmi 7 overall,Performance,Neutral
Performance is avg and at times slower than 2GB redmi 7 overall,redmi,Neutral
RAM management is worst and it can ' t even hold 2 apps in RAM at a time,RAM management,Negative
RAM management is worst and it can ' t even hold 2 apps in RAM at a time,apps,Neutral
"When you go to any UPI app to complete payment from any shopping app or ticket booking app and come back to shopping app , it will reload and payments will fail due to app reloading",,
"Even system apps like settings , contacts etc will reload everytime",system apps,Neutral
"Even system apps like settings , contacts etc will reload everytime",settings,Neutral
"Even system apps like settings , contacts etc will reload everytime",contacts,Neutral
"Hi everyone , The phone looks amazing",phone looks,Positive
Battery back is also descent,Battery back,Positive
"Lasts a whole day , front camera is the highlight",front camera,Positive
Emui as always is so beautiful,Emui,Positive
Got an update just after unboxing ( update size around 3 gb ) overall my upgrade from honor 9 n to 10 lite is great one,,
I ' m happy tq # Huawei # Honor # And Flipkart,,
Best mobile in this price,mobile,Positive
Best mobile in this price,price,Positive
Colorful led notification light,,
Full charge in 2 hours,charge,Negative
UI & camera is also best,UI,Positive
UI & camera is also best,camera,Positive
